,model,subject,avg_fixations
0,MPII,s25,17.6875
1,MPII,s81,14.1875
2,MPII,s61,9.25
3,MPII,s87,9.5625
4,MPII,s86,15.3125
5,MPII,s58,19.4375
6,MPII,s3,10.75
7,MPII,s53,8.5625
8,MPII,s66,12.875
9,MPII,s73,16.25
10,MPII,s75,15.625
11,MPII,s71,5.625
12,MPII,s2,17.875
13,MPII,s46,15.6875
14,MPII,s23,14.5
15,MPII,s59,13.125
16,MPII,s39,11.1875
17,MPII,s63,15.1875
18,MPII,s9,17.1875
19,MPII,s19,20.0
20,MPII,s114,14.125
21,MPII,s5,12.8125
22,MPII,s113,18.375
23,MPII,s98,13.25
24,MPII,s104,9.625
25,MPII,s77,6.625
26,MPII,s34,19.25
27,MPII,s111,17.5
28,MPII,s78,6.125
29,MPII,s40,18.25
30,MPII,s79,19.625
31,MPII,s55,16.6875
32,MPII,s1,12.0625
33,MPII,s21,20.4375
34,MPII,s41,20.1875
35,MPII,s68,10.25
36,MPII,s90,18.75
37,MPII,s30,12.9375
38,MPII,s64,12.375
39,MPII,s28,13.5
40,MPII,s110,11.8125
41,MPII,s20,11.0
42,MPII,s85,18.375
43,MPII,s8,18.1875
44,MPII,s27,11.875
45,MPII,s60,11.25
46,MPII,s18,14.0
47,MPII,s80,16.25
48,MPII,s93,14.75
49,MPII,s43,8.0625
50,MPII,s56,12.125
51,MPII,s82,16.6875
52,MPII,s31,16.125
53,MPII,s52,13.4375
54,MPII,s17,16.1875
55,MPII,s92,18.125
56,MPII,s4,10.75
57,MPII,s6,19.0625
58,MPII,s117,11.6875
59,MPII,s49,12.5625
60,MPII,s115,14.125
61,MPII,s103,8.8125
62,MPII,s102,18.25
63,MPII,s32,13.6875
64,MPII,s44,10.125
65,ETH,s25,10.625
66,ETH,s81,16.625
67,ETH,s61,10.0
68,ETH,s87,11.125
69,ETH,s86,15.4375
70,ETH,s58,17.6875
71,ETH,s3,7.75
72,ETH,s53,7.625
73,ETH,s66,10.4375
74,ETH,s73,10.1875
75,ETH,s75,15.5
76,ETH,s71,4.75
77,ETH,s2,17.875
78,ETH,s46,9.375
79,ETH,s23,10.625
80,ETH,s59,17.0
81,ETH,s39,12.375
82,ETH,s63,11.625
83,ETH,s9,16.1875
84,ETH,s19,16.875
85,ETH,s114,8.5625
86,ETH,s5,8.0625
87,ETH,s113,18.4375
88,ETH,s98,13.5625
89,ETH,s104,14.1875
90,ETH,s77,11.0
91,ETH,s34,13.8125
92,ETH,s111,16.5625
93,ETH,s78,3.625
94,ETH,s40,15.8125
95,ETH,s79,18.875
96,ETH,s55,12.75
97,ETH,s1,15.3125
98,ETH,s21,19.25
99,ETH,s41,20.75
100,ETH,s68,10.375
101,ETH,s90,18.625
102,ETH,s30,13.0625
103,ETH,s64,10.125
104,ETH,s28,14.0625
105,ETH,s110,8.9375
106,ETH,s20,9.125
107,ETH,s85,17.5
108,ETH,s8,12.875
109,ETH,s27,10.25
110,ETH,s60,11.625
111,ETH,s18,11.625
112,ETH,s80,19.4375
113,ETH,s93,11.9375
114,ETH,s43,7.75
115,ETH,s56,10.0625
116,ETH,s82,18.4375
117,ETH,s31,10.75
118,ETH,s52,10.25
119,ETH,s17,8.4375
120,ETH,s92,12.5625
121,ETH,s4,9.0
122,ETH,s6,10.3125
123,ETH,s117,11.0625
124,ETH,s49,11.6875
125,ETH,s115,13.0625
126,ETH,s103,7.1875
127,ETH,s102,10.3125
128,ETH,s32,11.875
129,ETH,s44,10.4375
130,FAZE,s25,12.625
131,FAZE,s81,13.75
132,FAZE,s61,8.25
133,FAZE,s87,13.625
134,FAZE,s86,14.375
135,FAZE,s58,12.4375
136,FAZE,s3,8.375
137,FAZE,s53,9.0
138,FAZE,s66,9.5625
139,FAZE,s73,9.8125
140,FAZE,s75,13.5
141,FAZE,s71,7.0625
142,FAZE,s2,14.3125
143,FAZE,s46,12.625
144,FAZE,s23,10.0625
145,FAZE,s59,10.9375
146,FAZE,s39,12.1875
147,FAZE,s63,12.5
148,FAZE,s9,14.375
149,FAZE,s19,11.0
150,FAZE,s114,10.625
151,FAZE,s5,11.25
152,FAZE,s113,11.875
153,FAZE,s98,11.9375
154,FAZE,s104,11.5
155,FAZE,s77,11.1875
156,FAZE,s34,11.8125
157,FAZE,s111,14.5
158,FAZE,s78,13.1875
159,FAZE,s40,12.25
160,FAZE,s79,13.9375
161,FAZE,s55,12.9375
162,FAZE,s1,9.125
163,FAZE,s21,14.4375
164,FAZE,s41,12.4375
165,FAZE,s68,10.9375
166,FAZE,s90,11.125
167,FAZE,s30,11.1875
168,FAZE,s64,9.5625
169,FAZE,s28,12.1875
170,FAZE,s110,11.4375
171,FAZE,s20,11.0625
172,FAZE,s85,11.3125
173,FAZE,s8,10.4375
174,FAZE,s27,12.25
175,FAZE,s60,10.375
176,FAZE,s18,11.4375
177,FAZE,s80,13.3125
178,FAZE,s93,11.5625
179,FAZE,s43,9.25
180,FAZE,s56,11.4375
181,FAZE,s82,15.0
182,FAZE,s31,10.625
183,FAZE,s52,7.75
184,FAZE,s17,11.0
185,FAZE,s92,11.5625
186,FAZE,s4,9.75
187,FAZE,s6,12.9375
188,FAZE,s117,12.0
189,FAZE,s49,10.625
190,FAZE,s115,13.0625
191,FAZE,s103,11.5625
192,FAZE,s102,16.3125
193,FAZE,s32,13.5
194,FAZE,s44,8.8125
