,model,img,AUC,CC,SIM
0,FAZE,0,0.5783229410938096,0.5556709667424223,0.4405708307394265
1,FAZE,1,0.5656690110911984,0.49935436454282933,0.4116625579390939
2,FAZE,2,0.5508691795957632,0.4621987650435528,0.3816747699952788
3,FAZE,3,0.5877455991291515,0.49918496553289016,0.39605128386634453
4,FAZE,4,0.5660915225468687,0.565392749634798,0.3920239863155938
5,FAZE,5,0.7256569803925966,0.6875069144061344,0.4947637196045338
6,FAZE,6,0.5848099929884608,0.5517540291796775,0.4186927125463617
7,FAZE,7,0.6663492748853026,0.7340068443691947,0.4839681463057074
8,FAZE,8,0.6066862307729698,0.6419825596518131,0.45915593871256205
9,FAZE,9,0.5511383208894782,0.5699416958334127,0.40374166925460336
10,FAZE,10,0.5949500584206057,0.45966397544205306,0.4109330550200195
11,FAZE,11,0.6790133452245565,0.6333091403776323,0.5106115713570379
12,FAZE,12,0.6493555547390264,0.5865640658381442,0.4382678623013706
13,FAZE,13,0.5779806714910911,0.5824868707860577,0.41583743730664285
14,FAZE,14,0.5983072525810508,0.6370654869937828,0.4757164908941728
15,FAZE,15,0.625920649386262,0.6216761946380461,0.4212011276136741
0,ETH,0,0.5338353416511052,0.5133375548076241,0.42022221167762175
1,ETH,1,0.5142430906492351,0.41919323657708124,0.3879753200519299
2,ETH,2,0.5043086646989718,0.3039528991718861,0.3526309265653644
3,ETH,3,0.5117275837524823,0.36636252918975326,0.3309764052829844
4,ETH,4,0.5342010933205277,0.5019727515437747,0.36579272014898767
5,ETH,5,0.5879818162530926,0.583317512066,0.40740186525015815
6,ETH,6,0.44083077490730327,0.4027443445782853,0.3451112002304584
7,ETH,7,0.5387293597019296,0.6280863067966669,0.394199599949906
8,ETH,8,0.5798043890911176,0.5702435978511298,0.4444320030936118
9,ETH,9,0.5535428841813085,0.51635738846205,0.3735882581649323
10,ETH,10,0.5325636497975119,0.38173269836408097,0.3779498291169424
11,ETH,11,0.5453433444500442,0.5193518561217754,0.43467154983095835
12,ETH,12,0.5655757604365157,0.461140741394386,0.3869860017863264
13,ETH,13,0.559274020038832,0.4286745631907732,0.37756664624972497
14,ETH,14,0.5208143761088625,0.4248067429104312,0.4088658642090149
15,ETH,15,0.45779461107967234,0.5256188551377159,0.33190338826636356
0,MPII,0,0.5252257145914092,0.43594626478584536,0.4037242936071385
1,MPII,1,0.46903859253276015,0.42910112499024944,0.3655254801638778
2,MPII,2,0.4460434912494546,0.33884840185317183,0.33392881676471026
3,MPII,3,0.5129117738687109,0.451536845004017,0.34714051365152643
4,MPII,4,0.5117686072485625,0.5244760489039254,0.366338109491765
5,MPII,5,0.5270565377211096,0.5613055638447951,0.3735361303216369
6,MPII,6,0.46234189491406424,0.4052344013024611,0.3490027520641866
7,MPII,7,0.5065183041071573,0.5420618179602845,0.35939026629619
8,MPII,8,0.49975491699959446,0.4735935461022513,0.395761193127757
9,MPII,9,0.47281105350483377,0.4334677633648101,0.32986669146668607
10,MPII,10,0.5252314143468991,0.43340135924986234,0.3863559900794718
11,MPII,11,0.514018181418127,0.47059165283293175,0.4028050254000348
12,MPII,12,0.5503315917346795,0.5548618010006107,0.3843035207795272
13,MPII,13,0.5085538241542679,0.4527946334846022,0.36493364006294937
14,MPII,14,0.48272758180651637,0.3824486330004839,0.37082123505685805
15,MPII,15,0.43589389320343286,0.4628805118945686,0.320770820849702
