,model,subject,err
0,MPII,s25,23.925911332185674
1,MPII,s81,21.843446627685356
2,MPII,s61,12.481800186750052
3,MPII,s87,14.068292522157511
4,MPII,s86,18.696523911352607
5,MPII,s58,32.28527352845884
6,MPII,s3,24.46402958736877
7,MPII,s53,10.185205707566539
8,MPII,s66,8.584625200589985
9,MPII,s73,11.919801991988558
10,MPII,s75,51.57492896903639
11,MPII,s71,8.220883996179433
12,MPII,s2,24.65024559751004
13,MPII,s46,14.4486953339037
14,MPII,s23,10.787491294686037
15,MPII,s59,43.973157982193015
16,MPII,s39,5.760121806442027
17,MPII,s63,9.324203992126598
18,MPII,s9,123.82344985640145
19,MPII,s19,14.022347611879917
20,MPII,s114,11.18584392061773
21,MPII,s5,9.045576309296719
22,MPII,s113,59.567777180784255
23,MPII,s98,15.482097421400335
24,MPII,s104,80.46996380282145
25,MPII,s77,86.57536238787016
26,MPII,s34,23.912615357601567
27,MPII,s111,12.714638209223537
28,MPII,s78,86.44376676468005
29,MPII,s40,12.94765706227419
30,MPII,s79,24.217890017358048
31,MPII,s55,25.962762094675952
32,MPII,s1,18.937564172603828
33,MPII,s21,9.41259539227516
34,MPII,s41,8.564348751428193
35,MPII,s68,28.188518722028633
36,MPII,s90,5.85609307756454
37,MPII,s30,10.139744963778915
38,MPII,s64,28.711878250370585
39,MPII,s28,17.033599618198664
40,MPII,s110,6.420861668377565
41,MPII,s20,6.50661059658981
42,MPII,s85,25.751971301244364
43,MPII,s8,12.749085109578376
44,MPII,s27,9.28983776340138
45,MPII,s60,5.368637356091292
46,MPII,s18,13.934264110707971
47,MPII,s80,3.4077220448918517
48,MPII,s93,9.914782094606815
49,MPII,s43,10.230627543397281
50,MPII,s56,9.460732147777883
51,MPII,s82,17.7472135339667
52,MPII,s31,31.623488013555075
53,MPII,s52,4.966237094779016
54,MPII,s17,9.281342938634923
55,MPII,s92,12.478529277093566
56,MPII,s4,13.904477662681513
57,MPII,s6,17.918090778107516
58,MPII,s117,22.76113037470087
59,MPII,s49,8.84877254572886
60,MPII,s115,5.013060325110296
61,MPII,s103,22.339979341937262
62,MPII,s102,11.490296100421178
63,MPII,s32,5.25592275084879
64,MPII,s44,6.328075266472056
65,ETH,s25,17.722872904799285
66,ETH,s81,15.206395265603442
67,ETH,s61,10.478126349641398
68,ETH,s87,6.465899770275695
69,ETH,s86,5.956359744194974
70,ETH,s58,11.884254110700725
71,ETH,s3,9.398301775919672
72,ETH,s53,5.03374387405463
73,ETH,s66,7.430606244523093
74,ETH,s73,10.934334089515351
75,ETH,s75,44.16161846248724
76,ETH,s71,13.286413448978331
77,ETH,s2,24.03461370094644
78,ETH,s46,15.872324685607069
79,ETH,s23,12.616821044743451
80,ETH,s59,89.63837735572599
81,ETH,s39,7.1762867072502345
82,ETH,s63,18.463297900871357
83,ETH,s9,22.424584428332413
84,ETH,s19,10.162224834607482
85,ETH,s114,25.39830691054784
86,ETH,s5,6.502678389619781
87,ETH,s113,83.05460414464928
88,ETH,s98,7.903097914752748
89,ETH,s104,6.801678462101844
90,ETH,s77,16.69115957611373
91,ETH,s34,9.881199270172273
92,ETH,s111,6.985725402578542
93,ETH,s78,16.290825176460416
94,ETH,s40,11.49351884411179
95,ETH,s79,7.328392189789203
96,ETH,s55,8.652539536450563
97,ETH,s1,13.830157880597804
98,ETH,s21,11.206848493284218
99,ETH,s41,17.06704767229356
100,ETH,s68,8.014411434260362
101,ETH,s90,10.923370383826942
102,ETH,s30,11.499949308848466
103,ETH,s64,8.767395915307164
104,ETH,s28,14.343036660258988
105,ETH,s110,7.406224478206421
106,ETH,s20,13.275824592865995
107,ETH,s85,12.298537198884205
108,ETH,s8,12.389053757533551
109,ETH,s27,6.5472668554798235
110,ETH,s60,4.650475146081121
111,ETH,s18,4.431328569770438
112,ETH,s80,11.562544029095932
113,ETH,s93,9.012610399537317
114,ETH,s43,12.305806426519323
115,ETH,s56,7.96452614603
116,ETH,s82,10.909480497851066
117,ETH,s31,10.080533918502791
118,ETH,s52,6.908569719782502
119,ETH,s17,14.300429255346733
120,ETH,s92,4.278772624913338
121,ETH,s4,13.642371409023196
122,ETH,s6,11.471051669824297
123,ETH,s117,58.207066980350326
124,ETH,s49,9.875771524849288
125,ETH,s115,10.082667742764718
126,ETH,s103,9.197054669150374
127,ETH,s102,5.755422498915649
128,ETH,s32,11.955629057911098
129,ETH,s44,5.6485600028372716
130,FAZE,s25,10.933941238592576
131,FAZE,s81,2.6297858878315963
132,FAZE,s61,11.643630237555456
133,FAZE,s87,13.307636841441186
134,FAZE,s86,14.262430595603929
135,FAZE,s58,20.587212683616613
136,FAZE,s3,13.02259589479709
137,FAZE,s53,8.657034613026536
138,FAZE,s66,7.906411153125501
139,FAZE,s73,13.815407255634332
140,FAZE,s75,31.749139558891937
141,FAZE,s71,7.367068694610666
142,FAZE,s2,12.553130628218108
143,FAZE,s46,12.758387666339098
144,FAZE,s23,11.781502693079583
145,FAZE,s59,19.24161471181008
146,FAZE,s39,6.198908074613928
147,FAZE,s63,7.457556271462494
148,FAZE,s9,9.270760885936022
149,FAZE,s19,9.852430339337863
150,FAZE,s114,4.753346051326301
151,FAZE,s5,4.2387469712088
152,FAZE,s113,65.02561233902061
153,FAZE,s98,5.6902910587777145
154,FAZE,s104,5.17994762435097
155,FAZE,s77,11.954197448577768
156,FAZE,s34,5.684514005180167
157,FAZE,s111,5.511566558404851
158,FAZE,s78,70.83989169852639
159,FAZE,s40,4.486238211623303
160,FAZE,s79,11.62544717595262
161,FAZE,s55,7.849191955666299
162,FAZE,s1,5.27463559511001
163,FAZE,s21,7.757371427093339
164,FAZE,s41,6.445565723788469
165,FAZE,s68,12.040983131585293
166,FAZE,s90,8.915382415183288
167,FAZE,s30,3.7858575675307375
168,FAZE,s64,27.15787847672192
169,FAZE,s28,6.978571683150121
170,FAZE,s110,6.2433255538195915
171,FAZE,s20,10.142577052863954
172,FAZE,s85,15.176706368674251
173,FAZE,s8,10.834182027460388
174,FAZE,s27,6.838054787170262
175,FAZE,s60,7.0945405989383685
176,FAZE,s18,5.18403497130618
177,FAZE,s80,5.044520706346372
178,FAZE,s93,6.382012151490673
179,FAZE,s43,5.14880491696644
180,FAZE,s56,9.52539232524275
181,FAZE,s82,12.711415941408388
182,FAZE,s31,10.654824009595945
183,FAZE,s52,7.638983368290226
184,FAZE,s17,7.9799225209982145
185,FAZE,s92,6.021138173768482
186,FAZE,s4,4.008172292060504
187,FAZE,s6,6.65164419924671
188,FAZE,s117,9.649075815376344
189,FAZE,s49,6.343230029542911
190,FAZE,s115,9.25997825998106
191,FAZE,s103,5.750822050610374
192,FAZE,s102,6.442141129586694
193,FAZE,s32,6.184383871151898
194,FAZE,s44,7.24903146705212
